strategy,run,iteration,diversity
ring,5,10,11.858612975391498
ring,5,11,11.878657718120806
ring,5,12,11.853691275167785
ring,5,13,11.796331096196868
ring,5,14,11.781208053691275
ring,5,15,11.87489932885906
ring,5,16,11.83096196868009
ring,5,17,11.875704697986578
ring,5,18,11.850917225950782
ring,5,19,11.881968680089486
ring,5,20,11.907829977628635
ring,5,21,11.84751677852349
ring,5,22,11.831588366890381
ring,5,23,11.84903803131991
ring,5,24,11.845011185682326
ring,5,25,11.870514541387024
ring,5,26,11.851901565995526
ring,5,27,11.877046979865773
ring,5,28,11.850290827740492
ring,5,29,11.86917225950783
ring,5,30,11.86917225950783
ring,5,31,11.834988814317674
ring,5,32,11.854854586129754
ring,5,33,11.848769574944072
ring,5,34,11.863624161073826
ring,5,35,11.850380313199105
ring,5,36,11.86192393736018
ring,5,37,11.890559284116332
ring,5,38,11.843579418344518
ring,5,39,11.818612975391499
ring,5,40,11.847606263982103
ring,5,41,11.832035794183446
ring,5,42,11.795167785234899
ring,5,43,11.844026845637584
ring,5,44,11.807964205816555
ring,5,45,11.874809843400447
ring,5,46,11.830246085011186
ring,5,47,11.839284116331097
ring,5,48,11.864608501118568
ring,5,49,11.838031319910515
ring,5,50,11.849217002237136
ring,5,51,11.852527964205816
ring,5,52,11.835525727069351
ring,5,53,11.853959731543624
ring,5,54,11.847964205816554
ring,5,55,11.818881431767338
ring,5,56,11.820671140939597
ring,5,57,11.794362416107383
ring,5,58,11.788366890380313
ring,5,59,11.785145413870247
ring,5,60,11.80778523489933
ring,5,61,11.787561521252796
ring,5,62,11.75489932885906
ring,5,63,11.81592841163311
ring,5,64,11.818434004474273
ring,5,65,11.759821029082774
ring,5,66,11.78469798657718
ring,5,67,11.821208053691276
ring,5,68,11.878747203579419
ring,5,69,11.825145413870246
ring,5,70,11.847248322147651
ring,5,71,11.862371364653244
ring,5,72,11.71248322147651
ring,5,73,11.771901565995526
ring,5,74,11.709082774049216
ring,5,75,11.700402684563759
ring,5,76,11.768501118568233
ring,5,77,11.776733780760626
ring,5,78,11.82165548098434
ring,5,79,11.80751677852349
ring,5,80,11.802058165548099
ring,5,81,11.877941834451901
ring,5,82,11.831051454138702
ring,5,83,11.825234899328859
ring,5,84,11.814944071588366
ring,5,85,11.842237136465325
ring,5,86,11.810469798657719
ring,5,87,11.8613870246085
ring,5,88,11.874004474272931
ring,5,89,11.862639821029083
ring,5,90,11.848590604026846
ring,5,91,11.881610738255034
ring,5,92,11.8234451901566
ring,5,93,11.816733780760627
ring,5,94,11.79337807606264
ring,5,95,11.78076062639821
ring,5,96,11.814854586129753
ring,5,97,11.825771812080538
ring,5,98,11.841073825503356
ring,5,99,11.831588366890381
ring,5,100,11.829082774049217
ring,6,1,11.905503355704697
ring,6,2,11.912841163310961
ring,6,3,11.898612975391499
ring,6,4,11.90979865771812
ring,6,5,11.909082774049217
ring,6,6,11.850917225950782
ring,6,7,11.826577181208053
ring,6,8,11.766085011185682
ring,6,9,11.841879194630872
ring,6,10,11.875436241610739
ring,6,11,11.82586129753915
ring,6,12,11.873825503355704
ring,6,13,11.840536912751677
ring,6,14,11.84903803131991
ring,6,15,11.870514541387024
ring,6,16,11.867114093959731
ring,6,17,11.825771812080538
ring,6,18,11.848948545861298
ring,6,19,11.824876957494407
ring,6,20,11.84062639821029
ring,6,21,11.864161073825503
ring,6,22,11.848680089485459
ring,6,23,11.859776286353467
ring,6,24,11.835078299776287
ring,6,25,11.862729306487696
ring,6,26,11.871856823266219
ring,6,27,11.835883668903803
ring,6,28,11.795704697986578
ring,6,29,11.851812080536913
ring,6,30,11.827024608501118
ring,6,31,11.839552572706936
ring,6,32,11.89565995525727
ring,6,33,11.915704697986577
ring,6,34,11.87642058165548
ring,6,35,11.88178970917226
ring,6,36,11.904608501118568
ring,6,37,11.871767337807606
ring,6,38,11.849395973154362
ring,6,39,11.85234899328859
ring,6,40,11.86192393736018
ring,6,41,11.853154362416108
ring,6,42,11.899418344519015
ring,6,43,11.857897091722595
ring,6,44,11.852259507829977
ring,6,45,11.887337807606263
ring,6,46,11.86854586129754
ring,6,47,11.777002237136465
ring,6,48,11.84152125279642
ring,6,49,11.810648769574945
ring,6,50,11.826756152125279
ring,6,51,11.835078299776287
ring,6,52,11.844921700223713
ring,6,53,11.833020134228187
ring,6,54,11.871230425055929
ring,6,55,11.831946308724833
ring,6,56,11.815838926174496
ring,6,57,11.836331096196869
ring,6,58,11.800447427293065
ring,6,59,11.831498881431767
ring,6,60,11.81082774049217
ring,6,61,11.825592841163312
ring,6,62,11.823534675615212
ring,6,63,11.868187919463088
ring,6,64,11.861744966442952
ring,6,65,11.848232662192395
ring,6,66,11.737718120805368
ring,6,67,11.86165548098434
ring,6,68,11.797852348993288
ring,6,69,11.777360178970918
ring,6,70,11.779686800894854
ring,6,71,11.74228187919463
ring,6,72,11.855212527964206
ring,6,73,11.870335570469798
ring,6,74,11.846711409395974
ring,6,75,11.843758389261746
ring,6,76,11.873288590604027
ring,6,77,11.725458612975391
ring,6,78,11.70407158836689
ring,6,79,11.761789709172259
ring,6,80,11.798120805369127
ring,6,81,11.765548098434005
ring,6,82,11.848232662192395
ring,6,83,11.81592841163311
ring,6,84,11.814407158836689
ring,6,85,11.86890380313199
ring,6,86,11.81413870246085
ring,6,87,11.810469798657719
ring,6,88,11.745950782997763
ring,6,89,11.806890380313199
ring,6,90,11.78917225950783
ring,6,91,11.819418344519015
ring,6,92,11.744876957494407
ring,6,93,11.741118568232663
ring,6,94,11.795615212527965
ring,6,95,11.702729306487695
ring,6,96,11.776912751677852
ring,6,97,11.721521252796421
ring,6,98,11.707561521252796
ring,6,99,11.723489932885906
ring,6,100,11.68089485458613
ring,7,1,11.942908277404921
ring,7,2,11.934765100671141
ring,7,3,11.87758389261745
ring,7,4,11.905234899328859
ring,7,5,11.936286353467562
ring,7,6,11.924026845637584
ring,7,7,11.870156599552573
ring,7,8,11.906040268456376
ring,7,9,11.902192393736017
ring,7,10,11.92572706935123
ring,7,11,11.914988814317674
ring,7,12,11.909888143176733
ring,7,13,11.844116331096197
ring,7,14,11.870604026845637
ring,7,15,11.909351230425056
ring,7,16,11.894944071588366
ring,7,17,11.906398210290828
ring,7,18,11.908545861297538
ring,7,19,11.940492170022372
ring,7,20,11.926263982102908
ring,7,21,11.911051454138702
ring,7,22,11.866666666666667
ring,7,23,11.873646532438478
ring,7,24,11.894407158836689
ring,7,25,11.88814317673378
ring,7,26,11.897807606263981
ring,7,27,11.864250559284116
ring,7,28,11.842505592841164
ring,7,29,11.862818791946308
ring,7,30,11.850022371364654
ring,7,31,11.87910514541387
ring,7,32,11.897181208053691
ring,7,33,11.862818791946308
ring,7,34,11.904787472035794
ring,7,35,11.869530201342283
ring,7,36,11.891275167785235
ring,7,37,11.866219239373601
ring,7,38,11.88572706935123
ring,7,39,11.855838926174497
ring,7,40,11.797673378076063
ring,7,41,11.820581655480984
ring,7,42,11.884026845637583
ring,7,43,11.882774049217002
ring,7,44,11.839552572706936
ring,7,45,11.898523489932886
ring,7,46,11.871140939597316
ring,7,47,11.87158836689038
ring,7,48,11.876599552572706
ring,7,49,11.876152125279642
ring,7,50,11.8468903803132
ring,7,51,11.865771812080537
ring,7,52,11.903713646532438
ring,7,53,11.847158836689038
ring,7,54,11.868187919463088
ring,7,55,11.862013422818793
ring,7,56,11.86496644295302
ring,7,57,11.935212527964206
ring,7,58,11.847785234899328
ring,7,59,11.877494407158837
ring,7,60,11.902102908277405
ring,7,61,11.86407158836689
ring,7,62,11.830782997762864
ring,7,63,11.849843400447428
ring,7,64,11.86192393736018
ring,7,65,11.843668903803133
ring,7,66,11.880357941834452
ring,7,67,11.890290827740492
ring,7,68,11.91248322147651
ring,7,69,11.871946308724832
ring,7,70,11.89834451901566
ring,7,71,11.905234899328859
ring,7,72,11.856465324384788
ring,7,73,11.886174496644296
ring,7,74,11.865682326621924
ring,7,75,11.851096196868008
ring,7,76,11.91821029082774
ring,7,77,11.891364653243848
ring,7,78,11.875525727069352
ring,7,79,11.908366890380313
ring,7,80,11.894586129753915
ring,7,81,11.901744966442953
ring,7,82,11.881700223713647
ring,7,83,11.85324384787472
ring,7,84,11.914541387024608
ring,7,85,11.90407158836689
ring,7,86,11.885816554809843
ring,7,87,11.891364653243848
ring,7,88,11.826308724832215
ring,7,89,11.859776286353467
ring,7,90,11.827203579418345
ring,7,91,11.850469798657718
ring,7,92,11.833020134228187
ring,7,93,11.823534675615212
ring,7,94,11.831677852348994
ring,7,95,11.818881431767338
ring,7,96,11.851454138702461
ring,7,97,11.849485458612975
ring,7,98,11.812975391498881
ring,7,99,11.83337807606264
ring,7,100,11.827382550335571
ring,8,1,11.920984340044743
ring,8,2,11.959463087248322
ring,8,3,11.945324384787472
ring,8,4,11.936196868008949
ring,8,5,11.94586129753915
ring,8,6,11.965190156599553
ring,8,7,11.908456375838925
ring,8,8,11.932438478747203
ring,8,9,11.905324384787471
ring,8,10,11.903266219239374
ring,8,11,11.907114093959732
ring,8,12,11.852706935123042
ring,8,13,11.888680089485458
ring,8,14,11.88814317673378
ring,8,15,11.889395973154363
ring,8,16,11.871677852348993
ring,8,17,11.89503355704698
ring,8,18,11.89476510067114
ring,8,19,11.87275167785235
ring,8,20,11.874630872483221
ring,8,21,11.860581655480985
ring,8,22,11.872841163310962
ring,8,23,11.87275167785235
ring,8,24,11.893691275167786
ring,8,25,11.816733780760627
ring,8,26,11.911140939597315
ring,8,27,11.897897091722594
ring,8,28,11.885369127516778
ring,8,29,11.907203579418345
ring,8,30,11.884742729306488
ring,8,31,11.84751677852349
ring,8,32,11.846800894854587
ring,8,33,11.841789709172259
ring,8,34,11.789619686800895
ring,8,35,11.864608501118568
ring,8,36,11.849217002237136
ring,8,37,11.835883668903803
ring,8,38,11.813601789709173
